frame,ball_x,ball_y
frame_000,1919,0
frame_002,1919,0
frame_004,1919,0
frame_006,1919,0
frame_008,1919,0
frame_010,1919,0
frame_012,1919,0
frame_014,1919,0
frame_016,1919,0
frame_018,1919,0
frame_020,1919,0
frame_022,1919,0
frame_024,1919,0
frame_026,724.80,523.20
frame_028,718.26,491.34
frame_030,716.40,451.20
frame_032,715.20,416.40
frame_034,714.00,382.80
frame_036,712.80,348.00
frame_038,711.60,316.80
frame_040,712.80,288.00
frame_042,712.80,261.60
frame_044,710.96,233.83
frame_046,712.32,212.56
frame_048,713.48,187.44
frame_050,712.64,168.89
frame_052,714.53,152.83
frame_054,714.95,136.40
frame_056,716.08,123.20
frame_058,717.54,111.20
frame_060,718.05,102.00
frame_062,720.30,98.00
frame_064,722.49,92.40
frame_066,724.25,90.00
frame_068,725.97,90.40
frame_070,728.11,95.20
frame_072,730.34,98.80
frame_074,733.13,107.20
frame_076,735.20,116.80
frame_078,736.73,128.00
frame_080,740.59,143.60
frame_082,742.99,158.80
frame_084,747.24,176.40
frame_086,748.69,197.37
frame_088,752.56,219.26
frame_090,757.04,245.14
frame_092,759.67,271.66
frame_094,765.14,298.01
frame_096,792.53,279.30
frame_098,821.39,258.80
frame_100,844.11,244.61
frame_102,859.42,235.37
frame_104,873.32,232.38
frame_106,885.80,227.40
frame_108,896.01,226.20
frame_110,905.14,226.20
frame_112,913.38,227.40
frame_114,920.10,228.60
frame_116,927.29,231.00
frame_118,933.73,234.89
frame_120,938.85,237.85
frame_122,1919,0
frame_124,948.70,245.88
frame_126,953.21,249.79
frame_128,956.47,242.01
frame_130,959.38,227.56
frame_132,963.22,216.03
frame_134,964.44,205.16
frame_136,966.91,197.41
frame_138,969.92,189.07
frame_140,972.15,181.44
frame_142,974.39,176.40
frame_144,976.69,170.80
frame_146,979.19,166.80
frame_148,981.68,164.40
frame_150,984.63,162.00
frame_152,985.85,160.40
frame_154,988.71,158.80
frame_156,990.26,158.00
frame_158,987.57,154.80
frame_160,982.31,149.60
frame_162,977.60,144.40
frame_164,970.42,138.80
frame_166,965.86,134.80
frame_168,960.12,130.00
frame_170,952.68,126.40
frame_172,945.77,122.80
frame_174,939.43,120.00
frame_176,931.58,117.20
frame_178,923.92,115.20
frame_180,916.23,114.00
frame_182,907.90,112.80
frame_184,898.87,113.60
frame_186,889.33,113.60
frame_188,880.55,114.00
frame_190,869.88,116.00
frame_192,860.01,120.40
frame_194,848.78,125.20
frame_196,836.96,130.00
frame_198,825.22,136.00
frame_200,812.15,143.20
frame_202,797.99,152.40
frame_204,784.42,163.20
frame_206,769.53,174.40
frame_208,752.66,188.91
frame_210,737.28,205.40
frame_212,718.87,224.14
frame_214,700.46,245.10
frame_216,680.30,268.88
frame_218,659.74,294.69
frame_220,637.17,323.72
frame_222,614.11,357.99
frame_224,589.76,395.10
frame_226,564.75,439.20
frame_228,538.36,484.43
frame_230,509.92,535.78
frame_232,480.54,592.15
frame_234,451.18,655.05
frame_236,423.30,671.36
frame_238,398.12,664.75
frame_240,370.12,658.75
frame_242,341.36,657.83
frame_244,310.40,656.36
frame_246,280.80,655.20
frame_248,1919,0
frame_250,211.20,664.80
frame_252,175.20,669.60
frame_254,260.40,564.00
frame_256,336.00,477.60
frame_258,402.63,407.68
frame_260,461.60,347.20
frame_262,510.74,303.08
frame_264,553.60,262.40
frame_266,593.30,230.27
frame_268,628.80,202.40
frame_270,657.84,180.80
frame_272,684.14,163.20
frame_274,709.96,148.80
frame_276,730.81,139.50
frame_278,752.54,128.80
frame_280,769.79,120.60
frame_282,785.61,114.90
frame_284,800.70,111.90
frame_286,815.44,109.50
frame_288,827.54,107.40
frame_290,839.09,107.40
frame_292,849.20,107.40
frame_294,859.55,108.90
frame_296,868.67,111.00
frame_298,878.04,114.30
frame_300,885.39,116.40
frame_302,892.68,120.00
frame_304,899.55,124.20
frame_306,905.60,128.70
frame_308,912.04,133.51
frame_310,918.08,139.60
frame_312,923.94,145.34
frame_314,928.28,151.46
frame_316,933.51,157.33
frame_318,937.46,163.89
frame_320,941.94,171.69
frame_322,946.00,177.49
frame_324,949.96,185.01
frame_326,953.85,192.10
frame_328,957.24,199.63
frame_330,959.91,207.33
frame_332,963.25,215.43
frame_334,966.11,205.88
frame_336,967.59,196.92
frame_338,969.77,187.13
frame_340,971.49,178.19
frame_342,974.06,169.71
frame_344,976.31,164.42
frame_346,977.84,156.62
frame_348,979.69,150.34
frame_350,981.41,145.77
frame_352,984.08,140.99
frame_354,1919,0
frame_356,987.80,132.85
frame_358,990.11,131.03
frame_360,992.67,129.60
frame_362,993.52,128.70
frame_364,996.09,127.80
frame_366,997.30,127.50
frame_368,1000.63,126.90
frame_370,1002.43,127.80
frame_372,1005.88,129.60
frame_374,1007.53,131.72
frame_376,1010.85,134.55
frame_378,1013.76,138.50
frame_380,1015.71,144.74
frame_382,1919,0
frame_384,1919,0
frame_386,1026.00,166.20
frame_388,1030.50,177.00
frame_390,1035.60,190.20
frame_392,1040.10,204.30
frame_394,1045.03,220.16
frame_396,1049.85,237.50
frame_398,1055.64,260.78
frame_400,1061.82,285.71
frame_402,1068.98,314.23
frame_404,1076.91,347.87
frame_406,1084.80,386.48
frame_408,1094.82,429.94
frame_410,1103.82,478.48
frame_412,1114.79,537.24
frame_414,1125.90,601.70
frame_416,1138.56,679.59
frame_418,1149.75,700.30
frame_420,1161.60,706.20
frame_422,1175.20,716.00
frame_424,1189.16,732.09
frame_426,1203.20,750.40
frame_428,1219.19,776.00
frame_430,1209.60,729.60
frame_432,1167.60,608.40
frame_434,1127.09,509.84
frame_436,1095.75,425.96
frame_438,1069.26,359.55
frame_440,1046.20,301.20
frame_442,1025.04,254.44
frame_444,1007.67,214.79
frame_446,991.95,181.86
frame_448,979.80,155.32
frame_450,966.78,132.71
frame_452,958.14,113.05
frame_454,947.62,97.81
frame_456,939.23,85.03
frame_458,930.94,74.22
frame_460,924.28,65.86
frame_462,917.81,58.98
frame_464,912.97,55.54
frame_466,909.36,51.94
frame_468,906.31,51.73
frame_470,897.21,46.08
frame_472,894.27,44.29
frame_474,890.14,44.69
frame_476,887.07,46.31
frame_478,883.68,47.92
frame_480,881.63,49.53
frame_482,878.81,52.75
frame_484,875.21,56.37
frame_486,874.19,61.61
frame_488,871.74,65.43
frame_490,869.40,71.07
frame_492,868.57,76.10
frame_494,866.51,81.74
frame_496,864.95,87.38
frame_498,863.53,93.57
frame_500,861.83,100.15
frame_502,859.98,107.40
frame_504,859.16,113.52
frame_506,858.07,121.45
frame_508,857.05,130.29
frame_510,855.95,136.99
frame_512,855.30,144.54
frame_514,854.18,152.58
frame_516,853.51,160.79
frame_518,852.78,169.33
frame_520,852.00,177.72
frame_522,851.28,186.90
frame_524,850.53,196.08
frame_526,849.59,204.63
frame_528,849.48,206.23
frame_530,848.84,196.67
frame_532,848.46,186.64
frame_534,848.76,179.22
frame_536,847.67,171.45
frame_538,847.35,163.51
frame_540,847.66,157.76
frame_542,846.85,151.88
frame_544,846.73,146.69
frame_546,846.48,141.23
frame_548,845.78,137.68
frame_550,845.54,133.31
frame_552,845.99,130.44
frame_554,845.53,129.18
frame_556,845.36,125.63
frame_558,845.62,124.99
frame_560,845.49,124.14
frame_562,844.94,122.29
frame_564,845.53,123.27
frame_566,845.39,122.39
frame_568,845.25,123.00
frame_570,844.27,123.83
frame_572,844.71,126.35
frame_574,849.65,120.48
frame_576,855.81,114.00
frame_578,861.83,109.51
frame_580,867.87,106.59
frame_582,872.87,102.41
frame_584,880.07,99.08
frame_586,885.84,97.08
frame_588,893.33,93.53
frame_590,899.74,92.29
frame_592,906.56,91.17
frame_594,913.33,91.22
frame_596,921.39,91.56
frame_598,929.47,91.62
frame_600,937.96,93.66
frame_602,945.76,96.54
frame_604,954.69,100.21
frame_606,963.19,103.85
frame_608,970.32,108.36
frame_610,982.22,116.37
frame_612,992.61,123.85
frame_614,1002.65,132.82
frame_616,1013.49,143.32
frame_618,1024.67,156.10
frame_620,1036.93,168.15
frame_622,1049.00,185.12
frame_624,1062.04,201.19
frame_626,1075.96,221.26
frame_628,1089.86,242.43
frame_630,1104.29,265.81
frame_632,1119.37,292.10
frame_634,1135.11,321.41
frame_636,1152.05,353.94
frame_638,1169.80,387.15
frame_640,1187.26,424.21
frame_642,1205.36,457.86
frame_644,1222.37,446.94
frame_646,1239.65,438.36
frame_648,1259.28,430.34
frame_650,1277.71,422.87
frame_652,1299.25,415.71
frame_654,1319.90,412.10
frame_656,1342.53,408.67
frame_658,1366.50,405.64
frame_660,1389.91,406.53
frame_662,1418.09,407.88
frame_664,1444.03,411.29
frame_666,1472.15,419.20
frame_668,1502.86,425.29
frame_670,1533.85,436.39
frame_672,1563.80,449.06
frame_674,1598.84,467.21
frame_676,1633.69,486.78
frame_678,1669.38,508.64
frame_680,1706.52,535.77
frame_682,1743.33,566.04
frame_684,1781.49,601.32
frame_686,1714.65,543.64
frame_688,1616.70,465.26
frame_690,1534.74,405.11
frame_692,1469.89,358.60
frame_694,1413.76,321.33
frame_696,1367.76,292.68
frame_698,1328.25,269.16
frame_700,1295.01,251.45
frame_702,1265.31,236.51
frame_704,1240.61,225.25
frame_706,1218.58,216.02
frame_708,1198.93,210.24
frame_710,1182.08,205.26
frame_712,1166.91,202.66
frame_714,1153.59,200.60
frame_716,1141.50,198.94
frame_718,1130.65,198.40
frame_720,1121.12,199.44
frame_722,1111.63,200.86
frame_724,1103.83,201.58
frame_726,1096.37,204.56
frame_728,1089.63,207.58
frame_730,1083.32,210.84
frame_732,1077.83,215.06
frame_734,1072.05,218.79
frame_736,1067.15,222.59
frame_738,1063.43,227.71
frame_740,1059.79,226.92
frame_742,1057.35,217.16
frame_744,1054.61,208.52
frame_746,1052.93,200.49
frame_748,1050.60,193.87
frame_750,1049.36,187.43
frame_752,1046.92,182.07
frame_754,1045.37,177.19
frame_756,1044.06,172.86
frame_758,1042.19,169.73
frame_760,1040.44,167.47
frame_762,1039.65,164.88
frame_764,1037.11,163.72
frame_766,1035.89,162.91
frame_768,1034.97,162.72
frame_770,1034.05,162.87
frame_772,1029.42,160.25
frame_774,1022.79,154.16
frame_776,1012.73,148.37
frame_778,1003.67,143.14
frame_780,995.03,137.67
frame_782,985.99,133.13
