frame,ball_x,ball_y
frame_000,981.25,460.46
frame_002,978.89,462.59
frame_004,972.26,462.35
frame_006,964.45,461.88
frame_008,956.88,461.88
frame_010,948.84,463.53
frame_012,941.97,464.95
frame_014,934.64,467.79
frame_016,925.88,470.63
frame_018,917.60,473.94
frame_020,909.79,479.15
frame_022,901.04,484.36
frame_024,891.34,490.98
frame_026,882.98,498.89
frame_028,873.17,508.13
frame_030,863.08,518.56
frame_032,851.63,530.61
frame_034,841.96,543.23
frame_036,830.33,559.01
frame_038,818.98,576.07
frame_040,804.46,601.05
frame_042,792.54,620.13
frame_044,778.57,639.21
frame_046,766.72,627.40
frame_048,755.53,619.01
frame_050,742.64,607.54
frame_052,729.16,600.02
frame_054,715.53,592.53
frame_056,702.11,584.24
frame_058,685.21,579.24
frame_060,665.44,572.77
frame_062,648.95,569.17
frame_064,627.28,568.34
frame_066,607.50,566.82
frame_068,585.25,566.99
frame_070,559.93,569.35
frame_072,532.26,573.47
frame_074,502.23,581.71
frame_076,1919,0
frame_078,1919,0
frame_080,395.57,622.36
frame_082,386.78,634.67
frame_084,1919,0
frame_086,601.38,556.72
frame_088,663.83,536.22
frame_090,715.37,521.66
frame_092,757.76,511.06
frame_094,792.50,502.82
frame_096,820.76,497.52
frame_098,843.05,495.87
frame_100,863.89,494.36
frame_102,881.40,494.58
frame_104,896.71,495.75
frame_106,909.66,497.52
frame_108,919.67,498.11
frame_110,930.31,502.13
frame_112,939.90,505.82
frame_114,948.93,510.34
frame_116,955.64,512.81
frame_118,963.18,518.70
frame_120,968.81,523.59
frame_122,974.49,528.41
frame_124,979.88,534.09
frame_126,984.71,539.77
frame_128,988.40,544.60
frame_130,993.79,550.85
frame_132,997.20,558.51
frame_134,1001.18,563.91
frame_136,1003.73,561.35
frame_138,1005.72,553.12
frame_140,1006.85,548.01
frame_142,1009.69,541.76
frame_144,1011.40,537.50
frame_146,1012.82,533.24
frame_148,1014.24,528.41
frame_150,1015.66,525.86
frame_152,1017.08,523.59
frame_154,1018.21,522.17
frame_156,1019.63,520.18
frame_158,1020.77,519.90
frame_160,1022.76,519.04
frame_162,1023.04,519.04
frame_164,1023.89,519.90
frame_166,1025.31,521.03
frame_168,1026.73,522.45
frame_170,1022.76,515.35
frame_172,1018.50,507.97
frame_174,1014.52,500.87
frame_176,1009.98,496.04
frame_178,1005.15,488.66
frame_180,999.76,483.55
frame_182,995.02,477.89
frame_184,989.26,473.54
frame_186,983.00,469.64
frame_188,977.32,465.66
frame_190,970.79,464.24
frame_192,965.12,461.12
frame_194,958.02,459.98
frame_196,950.63,459.98
frame_198,941.83,461.12
frame_200,937.29,461.40
frame_202,926.78,464.53
frame_204,918.55,467.08
frame_206,909.75,472.19
frame_208,899.81,478.16
frame_210,887.60,487.81
frame_212,876.81,496.33
frame_214,865.45,507.40
frame_216,850.12,523.30
frame_218,836.21,539.77
frame_220,820.59,559.36
frame_222,802.16,581.19
frame_224,781.31,610.56
frame_226,760.70,642.95
frame_228,737.74,682.98
frame_230,712.19,716.35
frame_232,688.87,704.77
frame_234,662.38,690.64
frame_236,634.12,677.10
frame_238,600.56,663.55
frame_240,1919,0
frame_242,520.10,636.09
frame_244,1919,0
frame_246,423.85,617.47
frame_248,376.96,597.58
frame_250,472.52,555.10
frame_252,537.63,524.93
frame_254,600.68,500.57
frame_256,638.14,487.84
frame_258,667.68,479.74
frame_260,690.99,472.67
frame_262,709.36,469.14
frame_264,724.91,468.43
frame_266,738.33,465.61
frame_268,748.22,465.61
frame_270,756.70,466.31
frame_272,765.18,469.85
frame_274,770.83,473.38
frame_276,777.19,476.21
frame_278,782.84,478.32
frame_280,785.66,482.42
frame_282,790.78,485.54
frame_284,794.18,490.65
frame_286,797.31,494.63
frame_288,800.15,499.17
frame_290,802.42,503.71
frame_292,804.97,509.39
frame_294,806.39,513.93
frame_296,808.66,519.33
frame_298,809.80,524.72
frame_300,811.79,529.55
frame_302,812.92,535.51
frame_304,1919,0
frame_306,814.34,547.44
frame_308,815.07,549.08
frame_310,814.29,550.49
frame_312,817.47,546.30
frame_314,818.03,538.92
frame_316,818.32,535.23
frame_318,820.31,529.27
frame_320,821.72,525.01
frame_322,821.72,521.03
frame_324,822.29,518.76
frame_326,823.71,515.07
frame_328,824.00,513.08
frame_330,824.00,512.23
frame_332,825.13,511.38
frame_334,826.31,510.62
frame_336,827.03,510.18
frame_338,829.96,504.00
frame_340,834.79,497.75
frame_342,839.33,493.21
frame_344,844.72,489.23
frame_346,849.84,483.55
frame_348,855.51,478.72
frame_350,861.19,475.88
frame_352,866.59,473.33
frame_354,871.70,470.77
frame_356,879.36,467.93
frame_358,884.76,466.51
frame_360,891.57,466.23
frame_362,900.38,466.23
frame_364,906.23,466.61
frame_366,915.06,467.59
frame_368,923.89,469.55
frame_370,931.74,471.51
frame_372,941.07,476.42
frame_374,951.37,480.84
frame_376,962.06,486.80
frame_378,972.96,493.59
frame_380,983.26,502.92
frame_382,996.02,512.24
frame_384,1010.25,523.52
frame_386,1023.48,536.28
frame_388,1037.13,551.07
frame_390,1053.43,567.68
frame_392,1070.53,587.01
frame_394,1089.76,609.84
frame_396,1107.40,630.98
frame_398,1126.04,636.86
frame_400,1140.76,624.60
frame_402,1155.82,613.63
frame_404,1172.52,602.78
frame_406,1188.36,590.31
frame_408,1206.51,578.97
frame_410,1227.12,572.10
frame_412,1246.28,564.37
frame_414,1271.54,555.31
frame_416,1293.03,548.67
frame_418,1319.85,545.11
frame_420,1345.21,540.31
frame_422,1371.32,538.65
frame_424,1404.46,537.60
frame_426,1435.23,535.13
frame_428,1919,0
frame_430,1507.48,573.69
frame_432,1555.02,556.56
frame_434,1919,0
frame_436,1428.45,516.44
frame_438,1331.71,490.82
frame_440,1258.90,473.71
frame_442,1200.14,466.38
frame_444,1148.96,460.08
frame_446,1111.17,450.97
frame_448,1076.88,451.01
frame_450,1045.08,449.83
frame_452,1020.94,450.42
frame_454,996.22,451.59
frame_456,978.55,453.95
frame_458,962.07,458.66
frame_460,946.76,461.60
frame_462,932.51,465.31
frame_464,919.09,469.85
frame_466,907.90,476.32
frame_468,898.87,481.99
frame_470,889.65,487.51
frame_472,880.81,494.58
frame_474,873.16,501.05
frame_476,865.37,503.34
frame_478,1919,0
frame_480,848.09,546.50
frame_482,1919,0
frame_484,1919,0
frame_486,841.54,547.70
frame_488,835.48,549.92
frame_490,827.75,556.58
frame_492,824.18,552.66
frame_494,822.53,545.21
frame_496,816.64,537.53
frame_498,814.87,532.26
frame_500,811.93,526.37
frame_502,808.98,521.07
frame_504,806.63,517.54
frame_506,802.51,512.83
frame_508,798.97,509.29
frame_510,797.80,506.94
frame_512,796.03,504.58
frame_514,800.15,499.29
frame_516,804.27,494.58
frame_518,808.39,488.69
frame_520,812.52,485.15
frame_522,817.23,479.86
frame_524,822.53,475.73
frame_526,827.24,472.79
frame_528,833.71,469.85
frame_530,839.60,468.08
frame_532,844.31,467.49
frame_534,849.61,466.90
frame_536,858.44,465.72
frame_538,864.33,466.31
frame_540,871.98,469.85
frame_542,879.05,472.20
frame_544,889.65,476.32
frame_546,899.53,481.98
frame_548,909.59,487.37
frame_550,920.26,496.34
frame_552,932.04,506.35
frame_554,943.23,516.36
frame_556,956.77,529.90
frame_558,969.26,542.60
frame_560,988.20,562.36
frame_562,1006.02,582.36
frame_564,1025.88,610.14
frame_566,1043.37,637.01
frame_568,1065.92,667.38
frame_570,1087.56,683.24
frame_572,1106.78,668.05
frame_574,1130.31,652.30
frame_576,1153.89,641.82
frame_578,1173.68,631.02
frame_580,1202.00,620.61
frame_582,1919,0
frame_584,1919,0
frame_586,1919,0
frame_588,1919,0
frame_590,1388.57,582.46
frame_592,1442.42,585.45
frame_594,1423.52,574.00
frame_596,1332.71,536.05
frame_598,1919,0
frame_600,1222.07,510.29
frame_602,1189.82,503.67
frame_604,1164.54,498.19
frame_606,1150.14,497.70
frame_608,1132.92,498.98
frame_610,1123.28,494.19
frame_612,1113.12,497.42
frame_614,1105.96,498.85
frame_616,1099.26,500.06
frame_618,1093.12,503.46
frame_620,1087.97,506.12
frame_622,1084.43,508.59
frame_624,1080.40,513.22
frame_626,1078.48,515.94
frame_628,1075.66,519.61
frame_630,1072.95,523.93
frame_632,1071.17,528.13
frame_634,1069.75,531.92
frame_636,1068.42,535.50
frame_638,1067.71,540.33
frame_640,1919,0
frame_642,1065.12,549.75
frame_644,1064.78,550.61
frame_646,1919,0
frame_648,1064.88,540.57
frame_650,1062.17,535.43
frame_652,1061.74,533.81
frame_654,1061.50,529.79
frame_656,1061.33,529.41
frame_658,1060.05,526.47
frame_660,1060.05,526.47
frame_662,1060.05,525.53
frame_664,1059.34,525.29
frame_666,1060.05,522.92
frame_668,1060.05,520.09
frame_670,1060.76,517.96
frame_672,1060.52,516.54
frame_674,1061.23,512.99
frame_676,1060.99,511.57
frame_678,1061.70,511.09
frame_680,1061.94,510.15
frame_682,1061.94,510.15
frame_684,1062.65,509.20
frame_686,1062.65,508.49
frame_688,1063.12,509.20
